15	24	2
15	25	3
15	43	3
15	52	4
15	57	3
15	60	2
15	72	3
15	74	5
15	75	1
15	89	4
15	109	2
15	121	3
15	122	1
15	141	3
15	145	1
15	149	4
15	151	1
15	159	2
15	178	4
15	181	7
15	182	1
15	183	5
15	187	2
15	216	3
15	223	3
23	24	2
23	43	1
23	52	1
23	57	4
23	72	1
23	74	5
23	75	3
23	76	1
23	86	1
23	89	6
23	90	2
23	109	2
23	122	1
23	145	2
23	149	2
23	151	1
23	178	1
23	181	6
23	182	1
23	183	4
23	187	2
23	191	2
23	216	3
23	223	3
24	25	1
24	43	4
24	52	3
24	57	7
24	60	4
24	74	6
24	75	1
24	76	1
24	89	6
24	90	2
24	91	1
24	102	2
24	109	3
24	121	1
24	122	2
24	141	3
24	145	2
24	149	2
24	151	3
24	159	6
24	178	1
24	181	8
24	182	2
24	183	2
24	187	4
24	191	1
24	216	3
24	223	2
25	43	4
25	57	2
25	60	3
25	72	1
25	74	5
25	75	1
25	76	1
25	89	1
25	90	1
25	102	1
25	109	1
25	121	1
25	122	1
25	141	4
25	149	1
25	151	3
25	159	1
25	178	1
25	181	6
25	182	2
25	183	3
25	187	1
25	216	1
25	223	1
43	52	4
43	57	5
43	60	2
43	72	4
43	74	11
43	75	1
43	76	6
43	86	2
43	89	8
43	90	4
43	91	3
43	102	3
43	109	2
43	121	2
43	122	2
43	141	5
43	145	2
43	149	7
43	151	4
43	159	3
43	178	6
43	181	13
43	182	8
43	183	7
43	187	5
43	216	1
43	223	2
52	57	5
52	60	1
52	72	2
52	74	8
52	75	2
52	76	2
52	86	1
52	89	6
52	102	2
52	109	2
52	121	2
52	122	1
52	141	1
52	145	1
52	149	4
52	151	1
52	159	1
52	178	4
52	181	8
52	182	2
52	183	5
52	187	2
52	191	1
52	216	3
52	223	3
57	60	3
57	72	2
57	74	15
57	75	1
57	76	4
57	86	2
57	89	14
57	90	3
57	91	1
57	102	1
57	109	4
57	121	3
57	122	3
57	141	3
57	145	4
57	149	7
57	151	3
57	159	4
57	178	3
57	181	15
57	182	6
57	183	6
57	187	9
57	191	2
57	216	7
57	223	4
60	74	5
60	75	1
60	76	3
60	89	1
60	90	2
60	91	1
60	109	1
60	121	1
60	141	3
60	145	1
60	149	1
60	151	2
60	159	3
60	181	5
60	182	1
60	183	3
60	187	4
60	216	1
60	223	1
72	74	5
72	76	1
72	89	4
72	90	1
72	91	1
72	109	2
72	121	2
72	141	1
72	145	4
72	149	4
72	178	4
72	181	6
72	182	2
72	183	3
72	187	2
72	216	1
72	223	2
74	75	2
74	76	8
74	86	4
74	89	21
74	90	4
74	91	2
74	102	5
74	109	5
74	121	4
74	122	5
74	141	7
74	145	5
74	149	14
74	151	6
74	159	4
74	178	9
74	181	29
74	182	13
74	183	17
74	187	13
74	191	4
74	216	5
74	223	5
75	86	1
75	89	3
75	90	1
75	109	1
75	122	1
75	141	1
75	149	1
75	181	5
75	183	4
75	187	1
75	216	3
75	223	2
76	86	3
76	89	5
76	90	4
76	91	2
76	121	1
76	141	3
76	145	1
76	149	5
76	151	1
76	159	1
76	178	4
76	181	7
76	182	5
76	183	4
76	187	5
76	216	1
86	89	5
86	90	2
86	91	1
86	122	1
86	141	1
86	149	3
86	178	2
86	181	4
86	182	2
86	183	2
86	187	2
86	216	2
89	90	6
89	91	4
89	102	2
89	109	6
89	121	5
89	122	5
89	141	3
89	145	5
89	149	13
89	151	1
89	159	2
89	178	8
89	181	19
89	182	8
89	183	8
89	187	6
89	191	3
89	216	5
89	223	7
90	91	3
90	109	1
90	121	1
90	122	1
90	141	4
90	145	1
90	149	4
90	151	1
90	159	1
90	178	2
90	181	5
90	182	3
90	183	1
90	187	3
90	191	1
90	216	1
90	223	1
91	102	1
91	121	1
91	141	1
91	145	1
91	149	3
91	159	1
91	178	1
91	181	1
91	182	1
91	187	2
102	109	2
102	122	1
102	141	1
102	145	1
102	149	4
102	151	2
102	159	1
102	178	1
102	181	5
102	182	2
102	183	1
102	187	1
102	216	1
109	122	1
109	141	2
109	145	5
109	149	4
109	151	1
109	178	1
109	181	8
109	183	2
109	187	2
109	191	3
109	216	5
109	223	4
121	122	1
121	141	1
121	145	1
121	149	3
121	151	1
121	159	1
121	178	3
121	181	4
121	182	1
121	183	1
121	187	1
121	223	1
122	141	3
122	149	3
122	151	2
122	159	2
122	178	2
122	181	6
122	182	2
122	183	1
122	187	1
122	216	2
122	223	1
141	149	3
141	151	5
141	159	3
141	178	2
141	181	9
141	182	3
141	183	4
141	187	4
141	216	2
145	149	5
145	178	2
145	181	6
145	182	1
145	183	3
145	187	4
145	191	1
145	216	2
145	223	4
149	159	1
149	178	6
149	181	14
149	182	6
149	183	8
149	187	7
149	191	2
149	216	3
149	223	5
151	159	3
151	181	7
151	182	2
151	183	1
151	187	1
151	216	1
159	178	1
159	181	5
159	182	2
159	183	1
159	187	2
159	216	1
178	181	9
178	182	6
178	183	5
178	187	3
178	216	1
178	223	2
181	182	11
181	183	15
181	187	12
181	191	2
181	216	8
181	223	6
182	183	7
182	187	6
182	191	1
183	187	10
183	191	2
183	216	5
183	223	4
187	191	1
187	216	4
187	223	3
191	216	1
191	223	1
216	223	2
